,Player,Time,dateSet,time,monthSet
690,smartalec24,5m 31s,2018-11-28,331.0,2018-11-01
691,FlubSRC,5m 31s,2019-10-19,331.0,2019-10-01
692,AlmondFruit,5m 31s,2020-06-03,331.0,2020-06-01
693,Zennan,5m 31s,2020-11-06,331.0,2020-11-01
694,Eligiuszekk,5m 32s,2015-01-13,332.0,2015-01-01
695,Volpey,5m 32s,2016-01-16,332.0,2016-01-01
696,FitterSpace,5m 32s,2016-02-11,332.0,2016-02-01
697,LateLearner,5m 32s,2016-08-21,332.0,2016-08-01
698,Liam12221,5m 32s,2017-04-29,332.0,2017-04-01
699,JJ,5m 32s,2017-08-15,332.0,2017-08-01
700,boxer108,5m 32s,2017-12-07,332.0,2017-12-01
701,Neural89,5m 32s,2017-12-31,332.0,2017-12-01
702,Xcvazer,5m 32s,2018-01-19,332.0,2018-01-01
703,JugadorX,5m 32s,2018-01-31,332.0,2018-01-01
704,potf3613,5m 32s,2018-02-04,332.0,2018-02-01
705,louiskanak,5m 32s,2019-05-06,332.0,2019-05-01
706,Sunshinepenguin18346,5m 32s,2019-05-08,332.0,2019-05-01
707,Radberg,5m 32s,2020-02-22,332.0,2020-02-01
708,d4rk0men,5m 33s,2016-08-21,333.0,2016-08-01
709,MrCrowley22,5m 33s,2017-04-17,333.0,2017-04-01
710,Papa_Pem,5m 33s,2017-05-02,333.0,2017-05-01
711,ESPLY,5m 33s,2017-05-25,333.0,2017-05-01
712,BStar,5m 33s,2018-05-17,333.0,2018-05-01
713,Plyd823,5m 33s,2018-06-20,333.0,2018-06-01
714,stormcrow56k,5m 33s,2020-04-26,333.0,2020-04-01
715,Marques64,5m 33s,2020-07-03,333.0,2020-07-01
716,lainis,5m 33s,2020-10-25,333.0,2020-10-01
717,OldSchool_Richard,5m 34s,2016-10-21,334.0,2016-10-01
718,Spin2win,5m 34s,2017-02-03,334.0,2017-02-01
719,JuiceACD,5m 34s,2017-05-30,334.0,2017-05-01
720,color_theory,5m 34s,2017-06-11,334.0,2017-06-01
721,Smudgly,5m 34s,2018-03-16,334.0,2018-03-01
722,Mario564,5m 34s,2018-09-03,334.0,2018-09-01
723,Fintendo,5m 34s,2018-09-16,334.0,2018-09-01
724,Aknell,5m 34s,2018-10-08,334.0,2018-10-01
725,matchless,5m 34s,2018-10-31,334.0,2018-10-01
726,Parrot_Dash,5m 34s,2019-04-16,334.0,2019-04-01
727,WaffleCrumbs,5m 34s,2020-02-17,334.0,2020-02-01
728,Neeberz,5m 34s,2020-04-01,334.0,2020-04-01
729,special_k_95,5m 34s,2020-05-13,334.0,2020-05-01
730,timbo,5m 34s,2020-11-29,334.0,2020-11-01
731,Dyceron,5m 35s,2014-10-06,335.0,2014-10-01
732,DexterClaire,5m 35s,2014-11-30,335.0,2014-11-01
733,TwoGood,5m 35s,2016-04-21,335.0,2016-04-01
734,Jellyman102,5m 35s,2016-07-16,335.0,2016-07-01
735,DeMoNFLiP84,5m 35s,2016-11-19,335.0,2016-11-01
736,delaythefate,5m 35s,2017-03-28,335.0,2017-03-01
737,Stranger,5m 35s,2019-05-02,335.0,2019-05-01
738,Mik0,5m 35s,2019-05-18,335.0,2019-05-01
739,DaserBit,5m 35s,2020-07-22,335.0,2020-07-01
740,ScottyD,5m 35s,2020-07-31,335.0,2020-07-01
741,iokua84,5m 36s,2015-09-26,336.0,2015-09-01
742,OnscreenRain339,5m 36s,2018-03-12,336.0,2018-03-01
743,Banananana,5m 36s,2018-05-19,336.0,2018-05-01
744,jdlockefeller2002,5m 36s,2020-03-10,336.0,2020-03-01
745,Tashiro64,5m 37s,2014-07-21,337.0,2014-07-01
746,yunakitten,5m 37s,2016-02-07,337.0,2016-02-01
747,PeekingBoo,5m 37s,2016-06-29,337.0,2016-06-01
748,Shroki,5m 37s,2017-10-15,337.0,2017-10-01
749,Stelmach,5m 37s,2017-11-17,337.0,2017-11-01
750,Balucalli,5m 37s,2018-03-30,337.0,2018-03-01
751,SuperBigKMart,5m 37s,2020-06-18,337.0,2020-06-01
752,DanielLoveGame,5m 37s,2020-11-28,337.0,2020-11-01
753,HePPSxd,5m 38s,2017-11-06,338.0,2017-11-01
754,4,5m 38s,2018-01-15,338.0,2018-01-01
755,probablyalex,5m 38s,2018-06-24,338.0,2018-06-01
756,MihaelV,5m 38s,2020-02-03,338.0,2020-02-01
757,Apelta,5m 38s,2020-02-07,338.0,2020-02-01
758,Lolcatz34,5m 38s,2020-06-08,338.0,2020-06-01
759,dethwing,5m 39s,2013-01-01,339.0,2013-01-01
760,Edu207,5m 39s,2016-07-11,339.0,2016-07-01
761,Nandii,5m 39s,2017-04-25,339.0,2017-04-01
762,cornycows,5m 39s,2017-10-28,339.0,2017-10-01
763,2cri,5m 39s,2018-02-11,339.0,2018-02-01
764,toiletcomputer,5m 39s,2020-02-27,339.0,2020-02-01
765,thetagger79,5m 39s,2020-05-22,339.0,2020-05-01
766,goosethe,5m 39s,2020-08-18,339.0,2020-08-01
767,jag2791,5m 39s,2020-09-28,339.0,2020-09-01
768,PrestonLefevre,5m 39s,2020-11-17,339.0,2020-11-01
769,Brose,5m 39s,2020-11-27,339.0,2020-11-01
770,Zahhovak,5m 40s,2015-07-29,340.0,2015-07-01
771,grooomp,5m 40s,2016-10-31,340.0,2016-10-01
772,teapotamus,5m 40s,2017-04-22,340.0,2017-04-01
773,jo_nil,5m 40s,2017-05-23,340.0,2017-05-01
774,Rep2369,5m 40s,2017-06-07,340.0,2017-06-01
775,KnuxMaster368,5m 40s,2017-08-08,340.0,2017-08-01
776,windychan,5m 40s,2017-12-26,340.0,2017-12-01
777,riiyak,5m 40s,2018-05-07,340.0,2018-05-01
778,RVillatoro,5m 40s,2020-07-23,340.0,2020-07-01
779,tetrium,5m 40s,2020-09-29,340.0,2020-09-01
780,smartalec0624,5m 41s,2016-09-25,341.0,2016-09-01
781,gerardbanaga,5m 41s,2016-11-22,341.0,2016-11-01
782,Avijobat,5m 41s,2017-10-24,341.0,2017-10-01
783,jjg27,5m 41s,2018-03-03,341.0,2018-03-01
784,speedrunningiscool,5m 41s,2018-04-19,341.0,2018-04-01
785,jawajosh,5m 41s,2018-07-27,341.0,2018-07-01
786,573games,5m 41s,2020-05-01,341.0,2020-05-01
787,Dirtd,5m 41s,2020-05-02,341.0,2020-05-01
788,Nerepis,5m 41s,2020-09-06,341.0,2020-09-01
789,BBoyBaggens,5m 41s,2020-10-03,341.0,2020-10-01
790,WorstLiarEver,5m 42s,2017-07-18,342.0,2017-07-01
791,MattyA,5m 42s,2017-08-23,342.0,2017-08-01
792,W1thered,5m 42s,2017-09-15,342.0,2017-09-01
793,SanDimas1988,5m 42s,2018-02-04,342.0,2018-02-01
794,rly_dank_dude,5m 42s,2018-07-08,342.0,2018-07-01
795,Sparkydefay,5m 42s,2018-08-16,342.0,2018-08-01
796,Liv,5m 42s,2019-07-12,342.0,2019-07-01
797,Bro3256,5m 42s,2019-10-25,342.0,2019-10-01
798,omqwat,5m 42s,2020-07-02,342.0,2020-07-01
799,KK,5m 43s,2016-10-01,343.0,2016-10-01
800,gtm604,5m 43s,2017-06-19,343.0,2017-06-01
801,Binninja,5m 43s,2017-10-17,343.0,2017-10-01
802,GruffJosh,5m 43s,2018-02-02,343.0,2018-02-01
803,MonadoBoy_,5m 43s,2020-10-13,343.0,2020-10-01
804,KrusKader,5m 44s,2017-02-25,344.0,2017-02-01
805,Hendrix8,5m 44s,2017-04-18,344.0,2017-04-01
806,KingRhodesTn,5m 44s,2017-07-10,344.0,2017-07-01
807,ZekerMarco,5m 44s,2017-12-20,344.0,2017-12-01
808,buster__bee,5m 44s,2018-01-02,344.0,2018-01-01
809,Poli777,5m 44s,2018-05-08,344.0,2018-05-01
810,frosty884,5m 44s,2019-01-11,344.0,2019-01-01
811,ASavedFramerule,5m 44s,2019-04-05,344.0,2019-04-01
812,Astro,5m 44s,2020-09-10,344.0,2020-09-01
813,BigMaClJo,5m 44s,2020-11-02,344.0,2020-11-01
814,FranzKaiser,5m 44s 000ms,2020-12-08,344.0,2020-12-01
815,Maestro227,5m 45s,2016-10-05,345.0,2016-10-01
816,wrboismb,5m 45s,2017-03-30,345.0,2017-03-01
817,antikvn,5m 45s,2017-08-18,345.0,2017-08-01
818,Waked,5m 45s,2019-06-12,345.0,2019-06-01
819,Tiamat37,5m 45s,2019-11-24,345.0,2019-11-01
820,Term0_0,5m 45s,2020-12-06,345.0,2020-12-01
821,baseball_caniac,5m 46s,2015-08-16,346.0,2015-08-01
822,narutokyuby,5m 46s,2015-08-18,346.0,2015-08-01
823,Rappidkrill,5m 46s,2016-06-14,346.0,2016-06-01
824,WagnerBrasil,5m 46s,2017-04-12,346.0,2017-04-01
825,soba,5m 46s,2018-12-10,346.0,2018-12-01
826,ShadowMuffinMan,5m 46s,2020-09-03,346.0,2020-09-01
827,Rumbleminze,5m 46s,2020-10-03,346.0,2020-10-01
828,Luigi.B,5m 46s,2020-11-17,346.0,2020-11-01
829,Spiderweb__,5m 47s,2017-04-08,347.0,2017-04-01
830,Broodlai,5m 47s,2017-12-31,347.0,2017-12-01
831,Jabem,5m 47s,2018-04-24,347.0,2018-04-01
832,Nintendofanboy08,5m 47s,2020-06-21,347.0,2020-06-01
833,BurakSonic55,5m 47s,2020-08-17,347.0,2020-08-01
834,TechnicallyDustin,5m 47s,2020-09-02,347.0,2020-09-01
835,RetroSpeedruner,5m 47s,2020-10-04,347.0,2020-10-01
836,Boscia98,5m 48s,2016-08-06,348.0,2016-08-01
837,paradoxxic,5m 48s,2018-01-12,348.0,2018-01-01
838,Andrewwayne12.,5m 48s,2019-11-17,348.0,2019-11-01
839,RickyBoy_EA96,5m 48s,2020-05-24,348.0,2020-05-01
840,Manoel,5m 48s,2020-06-02,348.0,2020-06-01
841,Erik_Sushi,5m 48s,2020-06-04,348.0,2020-06-01
842,sabazios131,5m 49s,2015-07-30,349.0,2015-07-01
843,huxxny,5m 49s,2016-03-20,349.0,2016-03-01
844,DANNYCHEEZ,5m 49s,2017-06-08,349.0,2017-06-01
845,Ray_282,5m 49s,2017-06-17,349.0,2017-06-01
846,terminator__3000,5m 49s,2017-10-16,349.0,2017-10-01
847,evad999,5m 49s,2019-11-05,349.0,2019-11-01
848,authorblues,5m 50s,2014-03-19,350.0,2014-03-01
849,Svenne,5m 50s,2014-10-22,350.0,2014-10-01
850,Metalfan81Gaming,5m 50s,2017-04-19,350.0,2017-04-01
851,Havok0912,5m 50s,2017-08-07,350.0,2017-08-01
852,pvladim,5m 50s,2020-04-13,350.0,2020-04-01
853,Edgar3EEE,5m 50s,2020-07-31,350.0,2020-07-01
854,SkywardSamm,5m 51s,2015-03-31,351.0,2015-03-01
855,EngiRTA,5m 51s,2015-12-11,351.0,2015-12-01
856,DJNario,5m 51s,2016-06-06,351.0,2016-06-01
857,Rajsure,5m 51s,2018-01-17,351.0,2018-01-01
858,Leo1065,5m 51s,2018-02-27,351.0,2018-02-01
859,RealTPV,5m 51s,2019-07-03,351.0,2019-07-01
860,speshal,5m 51s,2019-12-22,351.0,2019-12-01
861,julienJJS,5m 51s,2020-02-28,351.0,2020-02-01
862,Ghyuty17,5m 51s,2020-08-27,351.0,2020-08-01
863,AquaBlake,5m 52s,2016-07-28,352.0,2016-07-01
864,Something,5m 52s,2016-09-08,352.0,2016-09-01
865,arcaneviper,5m 52s,2017-02-17,352.0,2017-02-01
866,Enmet,5m 52s,2017-02-23,352.0,2017-02-01
867,wanderson921,5m 52s,2017-10-20,352.0,2017-10-01
868,LF,5m 52s,2018-01-08,352.0,2018-01-01
869,snowrad16,5m 52s,2018-06-16,352.0,2018-06-01
870,KOSmIcD15,5m 52s,2018-09-17,352.0,2018-09-01
871,SilverVayne,5m 52s,2020-02-07,352.0,2020-02-01
872,iaredonutboy,5m 53s,2015-11-15,353.0,2015-11-01
873,DJS,5m 53s,2016-01-13,353.0,2016-01-01
874,Doonas,5m 53s,2017-04-13,353.0,2017-04-01
875,Javi,5m 53s,2018-06-24,353.0,2018-06-01
876,BM57,5m 53s,2019-06-12,353.0,2019-06-01
877,Hero422,5m 53s,2019-07-17,353.0,2019-07-01
878,imnotmario,5m 53s,2020-02-23,353.0,2020-02-01
879,CTConqueror,5m 54s,2013-07-12,354.0,2013-07-01
880,Contraslayer,5m 54s,2017-02-16,354.0,2017-02-01
881,Sentokoo,5m 54s,2018-02-24,354.0,2018-02-01
882,link_7777,5m 54s,2018-02-25,354.0,2018-02-01
883,Bokonon_Lives,5m 54s,2020-03-24,354.0,2020-03-01
884,Mc166,5m 54s,2020-05-06,354.0,2020-05-01
885,Contos,5m 54s,2020-09-20,354.0,2020-09-01
886,Hennikari,5m 55s,2017-03-08,355.0,2017-03-01
887,JuegAriel,5m 55s,2017-04-29,355.0,2017-04-01
888,Boplic,5m 55s,2018-03-20,355.0,2018-03-01
889,FlashTheorie,5m 55s,2018-05-18,355.0,2018-05-01
890,DGannon11,5m 55s,2020-04-15,355.0,2020-04-01
891,Kimurazaki,5m 55s,2020-05-14,355.0,2020-05-01
892,thetantalus,5m 56s,2017-01-28,356.0,2017-01-01
893,Darko,5m 57s,2016-01-17,357.0,2016-01-01
894,PeterBorah,5m 57s,2017-01-15,357.0,2017-01-01
895,BRizz879,5m 57s,2017-04-21,357.0,2017-04-01
896,maydaykc,5m 57s,2017-08-19,357.0,2017-08-01
897,Carl10101,5m 57s,2018-01-15,357.0,2018-01-01
898,Odiurd,5m 57s,2018-02-24,357.0,2018-02-01
899,Spaghetti,5m 57s,2020-09-15,357.0,2020-09-01
900,Aweglib,5m 58s,2015-10-24,358.0,2015-10-01
901,AdirondackRick,5m 58s,2017-02-06,358.0,2017-02-01
902,tocruns,5m 58s,2017-04-27,358.0,2017-04-01
903,AJJxxxx,5m 58s,2017-06-21,358.0,2017-06-01
904,schitch,5m 58s,2017-10-11,358.0,2017-10-01
905,Hayden977,5m 58s,2018-03-16,358.0,2018-03-01
906,xIceblue,5m 58s,2018-08-01,358.0,2018-08-01
907,offcenterscoreboard,5m 58s,2019-06-29,358.0,2019-06-01
908,Tibalt2K,5m 58s,2020-10-02,358.0,2020-10-01
909,Zehal,5m 59s,2014-02-09,359.0,2014-02-01
910,DownHaul,5m 59s,2018-02-16,359.0,2018-02-01
911,Jaybug,5m 59s,2018-04-10,359.0,2018-04-01
912,Shark_Eat_Fish,5m 59s,2020-04-03,359.0,2020-04-01
913,FabianUnkreativ,5m 59s,2020-06-09,359.0,2020-06-01
914,oknem,6m 01s,2019-03-10,361.0,2019-03-01
915,JPoint24,6m 02s,2016-06-29,362.0,2016-06-01
916,Kitcot,6m 02s,2017-05-27,362.0,2017-05-01
917,LilMaximum,6m 02s,2018-03-10,362.0,2018-03-01
918,obispo2,6m 02s,2019-01-29,362.0,2019-01-01
919,madezio2,6m 02s,2020-07-15,362.0,2020-07-01
920,andresfgp13,6m 02s,2020-11-14,362.0,2020-11-01
921,jackmallas,6m 03s,2020-06-06,363.0,2020-06-01
922,kingwing,6m 04s,2017-01-04,364.0,2017-01-01
923,DaltonBrown,6m 05s,2017-02-19,365.0,2017-02-01
924,ForeverInGame,6m 05s,2017-06-11,365.0,2017-06-01
925,TeeTaw,6m 05s,2018-04-04,365.0,2018-04-01
926,TanplayzGamez,6m 05s,2018-04-27,365.0,2018-04-01
927,DanyaChan,6m 05s,2020-02-28,365.0,2020-02-01
928,Elipsis,6m 06s,2017-01-24,366.0,2017-01-01
929,coulton.m,6m 06s,2017-07-07,366.0,2017-07-01
930,Twyn_o,6m 07s,2015-08-11,367.0,2015-08-01
931,Karow,6m 09s,2015-11-23,369.0,2015-11-01
932,Supermariobro,6m 09s,2017-12-14,369.0,2017-12-01
933,kingvideogamer,6m 09s,2020-02-15,369.0,2020-02-01
934,tinahacks,6m 10s,2017-04-16,370.0,2017-04-01
935,brandoncmaximum,6m 11s,2014-11-02,371.0,2014-11-01
936,DocteurPi,6m 11s,2016-06-12,371.0,2016-06-01
937,gamergirlmatty,6m 11s,2017-07-04,371.0,2017-07-01
938,ElliotEGS,6m 11s,2018-11-28,371.0,2018-11-01
939,Tod_NL,6m 11s,2019-12-24,371.0,2019-12-01
940,RetroEnderGamer,6m 12s,2017-12-21,372.0,2017-12-01
941,sambrezo,6m 12s,2018-12-09,372.0,2018-12-01
942,SamiCetin,6m 13s,2017-01-13,373.0,2017-01-01
943,Torenu,6m 13s,2018-03-05,373.0,2018-03-01
944,JoeyGamer95,6m 13s,2020-02-17,373.0,2020-02-01
945,Wannabebassist2,6m 14s,2016-10-12,374.0,2016-10-01
946,InstantTrain,6m 14s,2017-07-20,374.0,2017-07-01
947,WMD_88,6m 14s,2017-08-25,374.0,2017-08-01
948,TheOddTuber,6m 14s,2018-02-01,374.0,2018-02-01
949,YoshiBoi,6m 14s,2018-05-17,374.0,2018-05-01
950,Xatulu,6m 14s,2020-06-09,374.0,2020-06-01
951,Lightningbolt220,6m 14s,2020-06-11,374.0,2020-06-01
952,Romain909,6m 15s,2016-05-06,375.0,2016-05-01
953,chronoon,6m 15s,2018-09-18,375.0,2018-09-01
954,Bahemut,6m 16s,2016-05-28,376.0,2016-05-01
955,Ushikagu,6m 16s,2016-08-21,376.0,2016-08-01
956,Orangecheetah,6m 16s,2018-04-09,376.0,2018-04-01
957,SuperPlayer,6m 17s,2016-03-18,377.0,2016-03-01
958,Blazeingphoenix,6m 17s,2016-08-18,377.0,2016-08-01
959,TheLatestDeeds,6m 17s,2017-09-25,377.0,2017-09-01
960,smsb12,6m 17s,2020-06-18,377.0,2020-06-01
961,Firebroth,6m 18s,2017-09-25,378.0,2017-09-01
962,8_Bit_Chris,6m 19s,2015-08-29,379.0,2015-08-01
963,Playz,6m 19s,2018-05-29,379.0,2018-05-01
964,chi_galax,6m 19s,2020-07-30,379.0,2020-07-01
965,Orek,6m 19s,2020-10-31,379.0,2020-10-01
966,TheHazMan00,6m 20s,2014-01-13,380.0,2014-01-01
967,jayrock,6m 20s,2018-10-28,380.0,2018-10-01
968,pikmin6000,6m 21s,2017-02-07,381.0,2017-02-01
969,Terran2034,6m 21s,2017-07-13,381.0,2017-07-01
970,nevek,6m 21s,2018-04-18,381.0,2018-04-01
971,BinaryDragon,6m 22s,2015-09-11,382.0,2015-09-01
972,XxiIiJOSEiIixX,6m 22s,2019-07-04,382.0,2019-07-01
973,Firelemon,6m 22s,2020-04-13,382.0,2020-04-01
974,JadenGFX,6m 23s,2018-04-20,383.0,2018-04-01
975,ZeeGee_,6m 23s,2019-06-28,383.0,2019-06-01
976,MasterT1988,6m 24s,2017-02-12,384.0,2017-02-01
977,warmCabin,6m 24s,2018-09-15,384.0,2018-09-01
978,ArtismScrub,6m 24s,2019-08-18,384.0,2019-08-01
979,real_kushagra,6m 25s,2018-10-21,385.0,2018-10-01
980,Zyta,6m 26s,2018-05-06,386.0,2018-05-01
981,Unbones,6m 26s,2020-09-08,386.0,2020-09-01
982,8Brick,6m 27s,2013-11-07,387.0,2013-11-01
983,exewin,6m 27s,2018-09-28,387.0,2018-09-01
984,buckethead222,6m 27s,2018-10-04,387.0,2018-10-01
985,Asamoto,6m 28s,2017-03-19,388.0,2017-03-01
986,Puffers259,6m 28s,2017-04-15,388.0,2017-04-01
987,kewl_n_all,6m 28s,2018-02-13,388.0,2018-02-01
988,Stigmat,6m 28s,2019-02-18,388.0,2019-02-01
989,cootster,6m 29s,2020-11-03,389.0,2020-11-01
990,roni77nf,6m 30s,2016-09-24,390.0,2016-09-01
991,YoungFrick,6m 30s,2017-08-21,390.0,2017-08-01
992,GuidoChief24,6m 30s,2018-04-29,390.0,2018-04-01
993,sascha-gaming,6m 30s,2020-04-17,390.0,2020-04-01
994,PokerFacowaty,6m 32s,2017-02-03,392.0,2017-02-01
995,Spoofy,6m 32s,2017-12-03,392.0,2017-12-01
996,Jjeszse,6m 32s,2018-04-14,392.0,2018-04-01
997,Alicon,6m 32s,2018-05-21,392.0,2018-05-01
998,TemeSpeedRun,6m 32s,2020-04-13,392.0,2020-04-01
999,rshusko3,6m 33s,2015-10-04,393.0,2015-10-01
1000,MaelstromALPHA,6m 33s,2020-01-16,393.0,2020-01-01
1001,FoxyLove,6m 33s,2020-11-03,393.0,2020-11-01
1002,PixelAwesomeness,6m 34s,2020-03-25,394.0,2020-03-01
1003,JJReed,6m 36s,2019-12-15,396.0,2019-12-01
1004,sdslayer100,6m 37s,2018-03-18,397.0,2018-03-01
1005,ShesChardcore,6m 38s,2019-12-30,398.0,2019-12-01
1006,Retrogamerr80,6m 39s,2015-12-16,399.0,2015-12-01
1007,CharlieJohn,6m 40s,2018-08-16,400.0,2018-08-01
1008,NerfmasterYT,6m 41s,2017-06-05,401.0,2017-06-01
1009,austin_d3,6m 41s,2017-10-21,401.0,2017-10-01
1010,TheLegendOfPianist,6m 42s,2015-04-02,402.0,2015-04-01
1011,Dimitri5590,6m 42s,2019-11-04,402.0,2019-11-01
1012,Shadow96,6m 42s,2020-07-31,402.0,2020-07-01
1013,_VENOM_,6m 43s,2019-06-20,403.0,2019-06-01
1014,parz,6m 43s,2020-07-17,403.0,2020-07-01
1015,TheSlothKing,6m 44s,2017-02-03,404.0,2017-02-01
1016,SleepyMario,6m 44s,2017-04-14,404.0,2017-04-01
1017,ShakeDenFidgetGaming,6m 44s,2017-08-01,404.0,2017-08-01
1018,raspywalk,6m 45s,2017-11-13,405.0,2017-11-01
1019,NytAndDay,6m 45s,2019-11-17,405.0,2019-11-01
1020,navajo,6m 45s,2020-03-12,405.0,2020-03-01
1021,SMObois,6m 45s,2020-07-12,405.0,2020-07-01
1022,hisitis__,6m 46s,2017-12-13,406.0,2017-12-01
1023,MrDunlo,6m 46s,2019-07-14,406.0,2019-07-01
1024,Val0ur,6m 47s,2017-02-21,407.0,2017-02-01
1025,Dastrn,6m 48s,2017-02-26,408.0,2017-02-01
1026,xave206,6m 48s,2020-05-31,408.0,2020-05-01
1027,daveblack,6m 49s,2017-09-04,409.0,2017-09-01
1028,Blu3l1fe,6m 49s,2017-10-22,409.0,2017-10-01
1029,amourietta,6m 49s,2019-01-18,409.0,2019-01-01
1030,BlazeGamer,6m 49s,2020-05-31,409.0,2020-05-01
1031,xLunnar,6m 51s,2018-12-16,411.0,2018-12-01
1032,HUmanMustard,6m 52s,2016-08-24,412.0,2016-08-01
1033,sual3h11,6m 53s,2018-01-05,413.0,2018-01-01
1034,QuinnNoble,6m 53s,2018-08-17,413.0,2018-08-01
1035,IDontNotDoThings,6m 53s,2018-12-01,413.0,2018-12-01
1036,Dublin,6m 56s,2015-01-25,416.0,2015-01-01
1037,jmisugi,6m 56s,2020-12-05,416.0,2020-12-01
1038,PeeBee,6m 57s,2017-07-27,417.0,2017-07-01
1039,JuampaEK,6m 58s,2014-04-11,418.0,2014-04-01
1040,Evileye515,6m 58s,2017-07-22,418.0,2017-07-01
1041,PastorCam,6m 58s,2019-11-15,418.0,2019-11-01
1042,DietingHippo,6m 58s,2020-11-21,418.0,2020-11-01
1043,YoSoyHugo,7m 00s,2017-06-04,420.0,2017-06-01
1044,UltraAceCombat,7m 00s,2018-09-22,420.0,2018-09-01
1045,fifthfyre,7m 01s,2018-03-04,421.0,2018-03-01
1046,sdmx,7m 01s,2018-08-05,421.0,2018-08-01
1047,DaSmileKat,7m 01s,2020-10-31,421.0,2020-10-01
1048,NinShado,7m 02s,2019-08-06,422.0,2019-08-01
1049,_hoodie_,7m 04s,2019-08-09,424.0,2019-08-01
1050,VintageClassicGamer,7m 05s,2019-05-13,425.0,2019-05-01
1051,pedrorun,7m 09s,2018-04-21,429.0,2018-04-01
1052,esprs123,7m 09s,2018-10-05,429.0,2018-10-01
1053,seri,7m 09s,2019-12-14,429.0,2019-12-01
1054,MIT_Battery,7m 09s,2020-05-18,429.0,2020-05-01
1055,8BitSpiderByte,7m 10s,2017-01-19,430.0,2017-01-01
1056,barnaba,7m 10s,2018-02-12,430.0,2018-02-01
1057,TheCheeseball81,7m 10s,2020-03-04,430.0,2020-03-01
1058,L.Hofman,7m 11s,2017-01-25,431.0,2017-01-01
1059,xuhao95,7m 11s,2017-11-18,431.0,2017-11-01
1060,Kaiwave33x,7m 11s,2019-08-09,431.0,2019-08-01
1061,ANGEL_UNDEAD,7m 12s,2017-08-01,432.0,2017-08-01
1062,Brosa,7m 12s,2018-03-17,432.0,2018-03-01
1063,FluxTTv,7m 13s,2018-02-06,433.0,2018-02-01
1064,TendersTheLegend,7m 13s,2018-03-30,433.0,2018-03-01
1065,Mickybi,7m 15s,2017-02-09,435.0,2017-02-01
1066,Darkman_,7m 16s,2016-10-19,436.0,2016-10-01
1067,Excalendrie,7m 16s,2017-01-03,436.0,2017-01-01
1068,rkctkc,7m 19s,2018-07-02,439.0,2018-07-01
1069,DrCruse,7m 20s,2016-12-30,440.0,2016-12-01
1070,Jodosh,7m 21s,2020-10-10,441.0,2020-10-01
1071,DeliveryGuy,7m 22s,2017-07-01,442.0,2017-07-01
1072,jjbers,7m 23s,2017-07-01,443.0,2017-07-01
1073,alexmandi,7m 25s,2014-12-16,445.0,2014-12-01
1074,Hamyuiop,7m 25s,2017-05-06,445.0,2017-05-01
1075,Dark_Phantom2017,7m 25s,2017-11-11,445.0,2017-11-01
1076,Dr_Hesse,7m 25s,2018-07-14,445.0,2018-07-01
1077,jerrygetipad,7m 29s,2017-06-04,449.0,2017-06-01
1078,cathalbrian,7m 29s,2020-02-18,449.0,2020-02-01
1079,Techie81242,7m 33s,2020-09-10,453.0,2020-09-01
1080,SheepDog_81,7m 34s,2019-07-15,454.0,2019-07-01
1081,MrCurlyAlex,7m 40s,2016-12-03,460.0,2016-12-01
1082,sahil_mohanpuria,7m 40s,2016-12-14,460.0,2016-12-01
1083,Zans123456789,7m 43s,2018-01-15,463.0,2018-01-01
1084,sventheone,7m 44s,2017-01-28,464.0,2017-01-01
1085,GuizDP,7m 44s,2017-04-13,464.0,2017-04-01
1086,Chrisplayer,7m 47s,2018-11-03,467.0,2018-11-01
1087,OsmiRuns,7m 48s,2018-02-18,468.0,2018-02-01
1088,zappylogarithm,7m 49s,2020-11-25,469.0,2020-11-01
1089,SoopaPhastMan,7m 52s,2018-03-20,472.0,2018-03-01
1090,RoccoPennacchio,7m 53s,2020-09-04,473.0,2020-09-01
1091,infinitemystery,7m 54s,2018-12-09,474.0,2018-12-01
1092,SebiBn,8m 00s,2016-09-20,480.0,2016-09-01
1093,BigZeeff,8m 01s,2017-10-24,481.0,2017-10-01
1094,Wpixels,8m 08s,2020-04-18,488.0,2020-04-01
1095,Mingle13,8m 09s,2017-09-06,489.0,2017-09-01
1096,Maggitz,8m 11s,2020-09-04,491.0,2020-09-01
1097,PokemonMaster124,8m 14s,2019-08-16,494.0,2019-08-01
1098,Evan,8m 14s,2020-03-22,494.0,2020-03-01
1099,LuckySpeedruns,8m 16s,2017-06-28,496.0,2017-06-01
1100,Uriroitgrund,8m 24s,2020-11-19,504.0,2020-11-01
1101,Arch3r,8m 26s,2020-12-05,506.0,2020-12-01
1102,NikolaBV,8m 29s,2018-02-16,509.0,2018-02-01
1103,TheDoctorBlue,8m 31s,2018-12-23,511.0,2018-12-01
1104,hypermariosunshine,8m 33s,2016-08-08,513.0,2016-08-01
1105,Oscuridad,8m 34s,2016-07-11,514.0,2016-07-01
1106,synthpopisback,8m 34s,2017-08-13,514.0,2017-08-01
1107,diveswim,8m 39s,2017-02-17,519.0,2017-02-01
1108,Mikebloke,9m 03s,2017-09-25,543.0,2017-09-01
1109,dylrocks95,9m 04s,2016-07-18,544.0,2016-07-01
1110,TheOrca,9m 06s,2018-02-04,546.0,2018-02-01
1111,Finn,9m 13s,2017-02-24,553.0,2017-02-01
1112,JustLeeBelmont,9m 15s,2019-02-25,555.0,2019-02-01
